occ2,occ.code,occ.title,"Digital Score, 2002","Digital Score, 2016",ScoreChange,Education Requirement,Digital Skill level_2002,Digital Skill level_2016,high02,medium02,low02,high16,medium16,low16,tot_emp2002,tot_emp2010,tot_emp16,a_mean02,a_mean10,a_mean16,a_median02,a_median10,a_median16
19,19_2032,Materials Scientists,33.48448833,69.03752018,35.55303185,Bachelor Degree,3,2,0,1,0,1,0,0,7090,8390,7750,67240,86300,101570,64590,84720,99430
19,19_2041,"Environmental Scientists and Specialists, Including Health",39.54920892,59.77528915,20.22608023,Advanced Degree,2,2,0,1,0,0,1,0,60380,81690,84250,50970,67810,75360,47600,61700,68910
19,19_2042,"Geoscientists, Except Hydrologists and Geographers",43.76963774,67.52376081,23.75412307,Bachelor Degree,3,2,0,1,0,1,0,0,26130,30830,30420,78690,93380,106390,67470,82500,89780
19,19_2043,Hydrologists,40.51419198,66.35151644,25.83732446,Bachelor Degree,3,2,0,1,0,1,0,0,7390,6910,6300,58820,79280,83740,56530,75690,80480
19,19_3011,Economists,43.83342132,70.9794495,27.14602818,Advanced Degree,3,2,0,1,0,1,0,0,13290,13250,19380,76180,99350,112860,68550,89450,101050
19,19_3031,"Clinical, Counseling, and School Psychologists",33.69350154,49.36280154,15.6693,Advanced Degree,2,2,0,1,0,0,1,0,100560,100700,107980,56540,72540,78690,51170,66810,73270
19,19_3032,Industrial-Organizational Psychologists,37.60448976,58.72285176,21.118362,Advanced Degree,2,2,0,1,0,0,1,0,1360,1420,1020,69670,114040,104570,63710,87330,82760
19,19_3041,Sociologists,41.99570642,61.23753312,19.2418267,Advanced Degree,3,2,0,1,0,1,0,0,2630,3710,2870,56520,80130,86840,53160,72360,79750
19,19_3051,Urban and Regional Planners,59.39042872,55.4972965,-3.893132226,Advanced Degree,2,2,0,1,0,0,1,0,30460,38830,34810,51960,66020,73060,49880,63040,70020
19,19_3091,Anthropologists and Archeologists,28.57893484,63.57482285,34.99588801,Advanced Degree,3,1,0,0,1,1,0,0,4410,5100,6470,42380,58040,66440,38620,54230,63190
19,19_3092,Geographers,24.87150073,68.3132483,43.44174756,Bachelor Degree,3,1,0,0,1,1,0,0,740,1300,1370,54290,72890,74090,53420,72800,74260
19,19_3093,Historians,28.80825514,55.82651027,27.01825513,Advanced Degree,2,1,0,0,1,0,1,0,2110,3320,2950,45090,57840,60990,42030,53520,55110
19,19_4011,Agricultural and Food Science Technicians,17.82048528,59.70013186,41.87964658,Some College,2,1,0,0,1,0,1,0,15990,16890,20420,31010,35140,40470,28580,32760,37550
19,19_4021,Biological Technicians,11.09756858,55.36663827,44.26906969,Bachelor Degree,2,1,0,0,1,0,1,0,45630,72940,74720,34630,41740,46130,32710,39020,42520
19,19_4031,Chemical Technicians,34.71821559,54.61412091,19.89590533,Some College,2,2,0,1,0,0,1,0,67230,59440,65510,38890,44200,49770,37430,42040,45840
19,19_4041,Geological and Petroleum Technicians,28.60110339,57.85514087,29.25403748,Bachelor Degree,2,1,0,0,1,0,1,0,10690,13560,15100,41470,60410,62240,39430,54020,56470
19,19_4051,Nuclear Technicians,42.38060113,56.3637322,13.98313107,Some College,2,2,0,1,0,0,1,0,5620,6960,6840,61220,67330,77820,59990,68090,79140
19,19_4091,"Environmental Science and Protection Technicians, Including Health",40.06369218,58.13933061,18.07563843,Bachelor Degree,2,2,0,1,0,0,1,0,26380,28480,32950,37370,44440,47930,35320,41380,44190
19,19_4092,Forensic Science Technicians,40.85833176,56.52305515,15.66472338,Bachelor Degree,2,2,0,1,0,0,1,0,7830,12390,14800,43280,55040,60690,41040,51570,56750
21,21_1011,Substance Abuse and Behavioral Disorder Counselors,27.77236911,58.37647101,30.6041019,Advanced Degree,2,1,0,0,1,0,1,0,63310,77940,91040,31860,40810,44160,30180,38120,41070
21,21_1012,"Educational, Guidance, School, and Vocational Counselors",32.0318258,59.26354443,27.23171862,Advanced Degree,2,1,0,0,1,0,1,0,208340,246890,260670,46160,55970,57620,44100,53380,54560
